Algorithm,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
MF-IDW,2.90064789,0.79505596,1.934560464,0.439113211,0.958260972,0.018837524
ConvexHull-GP,1.025664914,0.254350815,0.617107494,0.134319599,0.994734837,0.002402497
GPy-CoKriging,2.216483504,0.528426591,1.43248272,0.360083791,0.97568999,0.01034652
GPy-InvDistMean,3.167186052,0.616397594,2.251780929,0.355894229,0.951214781,0.015870205
